Content Manifest for Depot 2347770

Manifest ID / date     : 5002689339188222421 / 12/19/2024 22:39:40
Total number of files  : 2656
Total number of chunks : 49229
Total bytes on disk    : 47577462591
Total bytes compressed : 39022505328

          Size Chunks File SHA                                 Flags Name
           424      1 248ED8B945C278240215D1D35EA58616D4C2AB1A     0 game/core/tools/images/assetbrowser/asset_badges/vmat_blend.png
           252      1 00083665D13BC7B6EBD76A477C8E5C1D6A4C3FD6     0 game/core/tools/images/assetbrowser/asset_badges/vmat_decal.png
           525      1 9139944EA4062453EE981442DF564FB2F7D8DCA4     0 game/core/tools/images/assetbrowser/asset_badges/vmat_tools_nodraw.png
           377      1 A5318E550E787B2112B49ECBF0A7E8A46D23B152     0 game/core/tools/images/assetbrowser/asset_badges/vmat_translucent.png
          2858      1 2C7BBCF91B1F28146C56451E4EE024638DEE70E1     0 game/core/tools/images/assetbrowser/asset_info_menu.png
           702      1 796AAA9C58AC84EF5B22F6C3EECDF91F1BA78AD7     0 game/core/tools/images/assetbrowser/browse_asset.png
           734      1 97F8F295EEA305D556ECC86A1498165C92B77230     0 game/core/tools/images/assetbrowser/cloneworkingset.png
          3025      1 B7309FF040D9B720ABA1F784DB196133ED6DF670     0 game/core/tools/images/assetbrowser/copy_list_to_clipboard.png
          3085      1 793A5C104AA5A9E38BDC915EA11636A78410536C     0 game/core/tools/images/assetbrowser/create_set_from_clipboard.png
           917      1 9FDEEDA0ED90459AC2A0E1E662BD83B3C7CEDF33     0 game/core/tools/images/assetbrowser/deleteworkingset.png
          3048      1 C2E7F3805B23CA652078BE49F0AD9E5D3F35F611     0 game/core/tools/images/assetbrowser/disabled_option.png
           237      1 B19D4843AA337BA611CA1AD8E46FD311BA7528F7     0 game/core/tools/images/assetbrowser/filter_button_empty.png
           242      1 3F196D4D15E2436BA071D1DB8B267E3A8A550B4C     0 game/core/tools/images/assetbrowser/filter_button_nonempty.png
           468      1 33A8E3FB509CFA550808CCAE30F8935EA82B58BF     0 game/core/tools/images/assetbrowser/filter_hint.png
          1039      1 2A704F3E10C5D603C23F98C1BE792AA721AC2EE3     0 game/core/tools/images/assetbrowser/filter_hint_dropdown.png
           199      1 46BF33AC0F476F5CCC357ADD3135D4DD6A04E47E     0 game/core/tools/images/assetbrowser/filter_tags_empty.png
           215      1 6209FACAE17F5FA02070357D9EBCFFFC725A7C7C     0 game/core/tools/images/assetbrowser/filter_tags_full.png
           226      1 89A6AC6B4609407B6702197EDBD76B20B1E6428A     0 game/core/tools/images/assetbrowser/filter_tags_partial.png
          2042      1 29FBDB282A56541C8A9E03006B46DF96141F0B9D     0 game/core/tools/images/assetbrowser/graph_overflow_back_depth.png
          2041      1 2DCBA730F20A3ACABE5358CE903AF032B2756595     0 game/core/tools/images/assetbrowser/graph_overflow_back_links.png
          2050      1 EEB792322E6B7EECA337231ED12ADC3445A256DE     0 game/core/tools/images/assetbrowser/graph_overflow_forward_depth.png
          2039      1 856878B2C647B150FE36B8FCAB6290D66C8F2199     0 game/core/tools/images/assetbrowser/graph_overflow_forward_links.png
           246      1 15A816F8D5F59BFE64EB7E08DF319A6BB2A0E22C     0 game/core/tools/images/assetbrowser/info_asset.png
           878      1 AD958B362C1285528724BE0B10930C085999845E     0 game/core/tools/images/assetbrowser/newworkingset.png
           739      1 8F93EA9427080756AB6707689D76E471534859ED     0 game/core/tools/images/assetbrowser/openintools.png
          2877      1 6C435D40B8D7B609CC96CCA767E5EA260AE2C2B0     0 game/core/tools/images/assetbrowser/pull_asset.png
          2854      1 A77A09C708BECC4BBEBCA20248489068A5AD047A     0 game/core/tools/images/assetbrowser/push_asset.png
           241      1 B73680AC9EE008B0B6D00CF9FE577547CE8E4A39     0 game/core/tools/images/assetbrowser/read_only_mod.png
          2173      1 24B99C2FAF433947BB727DA4BD09B023E18FA9E6     0 game/core/tools/images/assetbrowser/recently_used_asset.png
          1941      1 624EF25EFA1F8AB112762057FB33D6FD2EC6B5BF     0 game/core/tools/images/assetbrowser/reference_visualization.png
           682      1 E6E796BF2DB5A410055A864783D7652C960C9C97     0 game/core/tools/images/assetbrowser/renameworkingset.png
          2891      1 D7C0B791B8C76E2D9DA0A3622CD70E1D440CA4E7     0 game/core/tools/images/assetbrowser/saved_search_add.png
          2904      1 01482B08053E39CDB7546D1A4434CC4A39F9A62B     0 game/core/tools/images/assetbrowser/saved_search_add_hover.png
          2909      1 53D7E56F54A94042AE222D157E0AC8EDE814E0F9     0 game/core/tools/images/assetbrowser/saved_search_alert.png
          2908      1 890715F536F23AAFB512CA34FAA81679FB3DE4BF     0 game/core/tools/images/assetbrowser/saved_search_alert_blue.png
          2890      1 08D3D9A3B73DDEAD1A2DFF358B4FECCA4652A0FC     0 game/core/tools/images/assetbrowser/saved_search_remove.png
          2914      1 156FE9FA8D244FFE5FE04EE60B66645F31F4F218     0 game/core/tools/images/assetbrowser/saved_search_remove_hover.png
          2855      1 8C8875B31A8FAD630638F00CE9F3F417089C86C0     0 game/core/tools/images/assetbrowser/saved_search_save.png
           335      1 423277EDC4F42F47626B09395DC95A7D3E230060     0 game/core/tools/images/assetbrowser/select_button_full.png
           424      1 D641DFB162BE9EE307DDB75B0A41165329C7688C     0 game/core/tools/images/assetbrowser/select_button_none.png
           401      1 7926781A6D3155D6826B75CAAC0D86F2048411A6     0 game/core/tools/images/assetbrowser/select_button_partial.png
           386      1 5B797E0487F5DC2437194C7F01642A347BBA9B0D     0 game/core/tools/images/assetbrowser/select_mod_button_full.png
           363      1 813CAC25C277DE24B1754187C0D46788F4B5D98A     0 game/core/tools/images/assetbrowser/select_mod_button_none.png
           416      1 4903C1625537E2A89516F3E40A4C8A529DF09DC5     0 game/core/tools/images/assetbrowser/select_mod_button_partial.png
          2905      1 D54017C7E3320018BEC2B2155842F902B0B891C7     0 game/core/tools/images/assetbrowser/showdependencies.png
          2916      1 9C1E75C6D61DD30A3B0993A98DB99F91F81A4867     0 game/core/tools/images/assetbrowser/showdependingonme.png
          3604      1 C3625E9885A666CC58324A7DC2668125123E5C7C     0 game/core/tools/images/assetbrowser/tag_exclude.png
          3146      1 AEE06478DB3E5544D40BD3474A0027E487B95CE7     0 game/core/tools/images/assetbrowser/tag_include.png
           523      1 CF574D34CAE093D54EB5E612795DE6DB48D7DBBD     0 game/core/tools/images/assetbrowser/tree.png
           512      1 691D251597B6D14B0ED9F56A4D7119ECF5072265     0 game/core/tools/images/assetbrowser/workingset.png
          2904      1 DB0623480B905D888B45ACF87FF6D04DC992DB20     0 game/core/tools/images/assetpreview/material_cube.png
          2880      1 72F3DE934A1F82D68430E946350D6268C108D0C0     0 game/core/tools/images/assetpreview/material_model.png
          2844      1 E244B1AD9720F25C64BBC96CC084A18076FBCBD9     0 game/core/tools/images/assetpreview/material_plane.png
          2916      1 5AEF1504242A066528D7F97C697FE169835D38FB     0 game/core/tools/images/assetpreview/material_sphere.png
          2861      1 CC791ADDD189FE2C88B9E5EBCD3A1EF91E1959D9     0 game/core/tools/images/assetpreview/transparent_background.png
          6584      1 6C5CBCE631F9F5CDBF63FF71BDCFFDDC47941DE5     0 game/core/tools/images/assettypes/abc_lg.png
           616      1 9EB5A162DCD079057F0830ACDEC3ADD57868DA38     0 game/core/tools/images/assettypes/abc_sm.png
         11547      1 5F7651B52362F5932FE65CE234CD1E42FEB9B578     0 game/core/tools/images/assettypes/animation_group_lg.png
           733      1 CD3764855B2EB3A042CA1E30FDC56B4C0385F155     0 game/core/tools/images/assettypes/animation_group_sm.png
          9530      1 C21084B21C532435D8CBF617278174B10752F201     0 game/core/tools/images/assettypes/animation_lg.png
           699      1 11A6736D444B396F2D081039D7D1B9FA94213801     0 game/core/tools/images/assettypes/animation_sm.png
          7511      1 A99FE77154827FB6F8B3E5758CF7BFE01D7493EC     0 game/core/tools/images/assettypes/blender_lg.png
           677      1 75BB77AFC920CA9B5BF6090F20E039D8A32AC791     0 game/core/tools/images/assettypes/blender_sm.png
         14827      1 DEA4B605A99E6834E22CFA6D15C671E6F260D00E     0 game/core/tools/images/assettypes/cs2_econ_item_lg.png
          4661      1 087DCD1FDE8D54E22FE5200512600284D9FD9E66     0 game/core/tools/images/assettypes/cs2_econ_item_sm.png
         10603      1 9A829BA3457C6EDB3E64C55A518A5A9F37604E78     0 game/core/tools/images/assettypes/css_lg.png
           675      1 B66B82ED348EBD4766C7DC43B5E50AA79E60F7FB     0 game/core/tools/images/assettypes/css_sm.png
          7800      1 592B54825083E28451D80227E6E846800420C853     0 game/core/tools/images/assettypes/dmx_lg.png
           638      1 819D4BD81BD371BAD71DBD4397A8325B5C396249     0 game/core/tools/images/assettypes/dmx_sm.png
          8637      1 12BC710C9F324E9B7BCB152B5072582C5DDC0584     0 game/core/tools/images/assettypes/fbx_lg.png
           652      1 C8A27DA69B048A6E361413539E7F2ABC4ADD70E6     0 game/core/tools/images/assettypes/fbx_sm.png
          9843      1 E95A30F68E637AAA450F25721925E98069367834     0 game/core/tools/images/assettypes/generic_image_lg.png
           718      1 615927316C160D5D2F53A3C179485BEDAAFB80C8     0 game/core/tools/images/assettypes/generic_image_sm.png
          3351      1 8F341B6D0CBD4F1C9D1552ADDC55DA1AAACC8DF0     0 game/core/tools/images/assettypes/generic_lg.png
           363      1 75F5534D7B244A1A48302FD0DBCEA952B1DB4C07     0 game/core/tools/images/assettypes/generic_sm.png
          5524      1 358104C05E4D188FA997B102AA2790EC5EA7342F     0 game/core/tools/images/assettypes/image_psd_lg.png
           743      1 6062B2335934D6A513235E8E56AF521B8233EEC9     0 game/core/tools/images/assettypes/image_psd_sm.png
          4707      1 0548D43AFBDD62FF1D3A1C58AFC32A356778E98E     0 game/core/tools/images/assettypes/javascript_lg.png
           876      1 181622ACB5A19EF8FCAB6AA69FEC3A12A48816B5     0 game/core/tools/images/assettypes/javascript_sm.png
          9339      1 FEB7745CCD1CCE8CA879E11E9CFA38D7C989707F     0 game/core/tools/images/assettypes/map_lg.png
           735      1 A83E911ED36EBC88938E8F8934BD0B791546FB52     0 game/core/tools/images/assettypes/map_sm.png
         10319      1 C854DAA89D40D0C8F11D295A57685929B6FE9F67     0 game/core/tools/images/assettypes/material_lg.png
         19457      1 4FB6D3A77F658EB7523822349AD9A9E7CB1203CE     0 game/core/tools/images/assettypes/material_prefab_lg.png
          3295      1 0B745CA718DA913E25BA7109F4FBF299EA8154CB     0 game/core/tools/images/assettypes/material_prefab_sm.png
           692      1 8579F6F507063BFF87CB8A8A82A2E9E4808A1120     0 game/core/tools/images/assettypes/material_sm.png
          5593      1 4529CE2E8F09BBD1BB7CD81676EB2250218D9E18     0 game/core/tools/images/assettypes/maya_ma_lg.png
           611      1 D641270DF8D230925F3BFD480B6A5158A79BB0D3     0 game/core/tools/images/assettypes/maya_ma_sm.png
          5586      1 28C5F5E50EA358BB676962E09E412A65B5910188     0 game/core/tools/images/assettypes/maya_mb_lg.png
           611      1 D641270DF8D230925F3BFD480B6A5158A79BB0D3     0 game/core/tools/images/assettypes/maya_mb_sm.png
         11591      1 59FD5724FD51139B572B3DE1B0234FA5DF99FF04     0 game/core/tools/images/assettypes/mesh_lg.png
           731      1 092F40592D07C3EC9DAEB01E62FF8407FF2C6A16     0 game/core/tools/images/assettypes/mesh_sm.png
         11557      1 59CFECA5FB0B9DE7D3A391A572650EE0090A2314     0 game/core/tools/images/assettypes/model_lg.png
         14053      1 8C19A69D905FC7E7CC7E7CD43B50BD026BBFC032     0 game/core/tools/images/assettypes/model_prefab_lg.png
          3421      1 F9F9AFC345D356C4C1C79CC64903EB987B6617F9     0 game/core/tools/images/assettypes/model_prefab_sm.png
           651      1 06037C58B9A95086AF426A57FF415C3874359299     0 game/core/tools/images/assettypes/model_sm.png
          8259      1 BB5442C3203406B2DFDFE3226A375DAE3D90E76A     0 game/core/tools/images/assettypes/morph_lg.png
           665      1 30B8D3042A3B8EC28F063A1AE04740385A83DE6E     0 game/core/tools/images/assettypes/morph_sm.png
          9507      1 B7E00B3A927E2653D67960DD1EDF0B207C352E68     0 game/core/tools/images/assettypes/particles_lg.png
           676      1 0C91BE251EDFFBEA41DCC8CC1059139C5D9F2ED6     0 game/core/tools/images/assettypes/particles_sm.png
         10641      1 5C415D88BFAF90B8C0092FE095CBCE327F33B8C3     0 game/core/tools/images/assettypes/physics_lg.png
           711      1 EDFD05458A4D98B335D8E33C603E36D8D07BEF83     0 game/core/tools/images/assettypes/physics_sm.png
         16270      1 E2F36462744E94550138E75983B49F3C39DB3376     0 game/core/tools/images/assettypes/postprocessing_lg.png
          4764      1 30AA462B0C6A1A3BF5F2D63CC529D57CBBDC51C5     0 game/core/tools/images/assettypes/postprocessing_sm.png
         14180      1 BA45B2E1944220DA62D719160690DD290ACF3922     0 game/core/tools/images/assettypes/response_rules_lg.png
          4459      1 7E88D67A79CF300914E51A519D6185E6FF3B3E02     0 game/core/tools/images/assettypes/response_rules_sm.png
         16632      1 EC26540CB044DABA06FDCE4E25C91DEC8DA393E2     0 game/core/tools/images/assettypes/response_template_lg.png
          3164      1 9776872F828BD2C9F97C4A617816FF62EB73D049     0 game/core/tools/images/assettypes/response_template_sm.png
         12504      1 0E246BB61F66D882F3C834E07B30B9FE45F2C7F7     0 game/core/tools/images/assettypes/smart_prop_lg.png
          4652      1 9F2B692695CD146FA9BEDD0062C073E4023F7B8F     0 game/core/tools/images/assettypes/smart_prop_sm.png
          7901      1 4ECD9F7FE0A1E2413E319E3ECA89EE3497347EC0     0 game/core/tools/images/assettypes/speech_graphics_lg.png
           622      1 C4D0A1C726E1B146018380AC3A47187B7BA5A16A     0 game/core/tools/images/assettypes/speech_graphics_sm.png
          9098      1 831C1364BBED360242E4C41FC5A8036A7225885E     0 game/core/tools/images/assettypes/surface_lg.png
           632      1 7BC22920ED661837D96D6721CC87218F31299280     0 game/core/tools/images/assettypes/surface_sm.png
         10627      1 DCA713EAE40DC2BDC13E9EC12A61216373953E43     0 game/core/tools/images/assettypes/text_lg.png
           651      1 5775739AB16F05F7664473A7F99904353B7F98A6     0 game/core/tools/images/assettypes/text_sm.png
          6863      1 55B1DFF2BDEF2E601810D2BBDC2BD3FC1B59D529     0 game/core/tools/images/assettypes/texture_lg.png
           619      1 C6FB51FEE88F7AEAC73FE033379292609BE28CC2     0 game/core/tools/images/assettypes/texture_sm.png
          4489      1 5C5E3CD5BC7E087C9E4DC00D3A84816B83A9CC27     0 game/core/tools/images/assettypes/typescript_lg.png
           877      1 8DA0361F62CE5388C8EA7AB5C394281E3CE9F55A     0 game/core/tools/images/assettypes/typescript_sm.png
          7476      1 689AA90EFBCDBC4ADED4832B28F083782BE60328     0 game/core/tools/images/assettypes/vcd_choreo_lg.png
           651      1 8E897E110ADF2393F81218CDEBF4CD301C1D534D     0 game/core/tools/images/assettypes/vcd_choreo_sm.png
         11151      1 40B9B4CF8AF355051D0E3909107ACF2157989111     0 game/core/tools/images/assettypes/vcdlist_lg.png
          2219      1 F454EBB2AA84FDD4D3DB14AF603292398F7F13AA     0 game/core/tools/images/assettypes/vcdlist_sm.png
